,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category
2038,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,8,2.6,GRP,205,154310.7,Switzerland , Lake of Zurich ,new boat from stock,Unleaded,High-priced
2039,Motor Yacht,Windy power boats,"Used boat,Diesel",2003,12.34,3.48,GRP,116,139900,Croatia (Hrvatska) ,21000,Used boat,Diesel,High-priced
2040,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,11.65,3.99,GRP,207,139900,Germany , Worms,Used boat,Unleaded,High-priced
2041,Motor Yacht,Sessa power boats,"Used boat,Diesel",2006,12.9,3.85,GRP,63,139900,Italy , Nord Adria,Used boat,Diesel,High-priced
2042,Motor Yacht,Proficiat power boats,Used boat,2006,11.75,3.84,Steel,114,139900,Germany , Hamburg ,Used boat,Diesel,High-priced
2045,"Motor Yacht,Sport Boat",Bavaria power boats,"Used boat,Diesel",2008,11.95,3.99,GRP,173,139900,Germany , Ostsee ,Used boat,Diesel,High-priced
2047,House Boat,Teltow Werft power boats,"Used boat,Diesel",1957,27.8,6.71,Steel,163,139500,Germany , Ostfriesland,Used boat,Diesel,High-priced
2048,Trawler,Bavaria power boats,"Used boat,Unleaded",2012,11,3,GRP,94,139500,Croatia (Hrvatska) , Kvarner,Used boat,Unleaded,High-priced
2049,Trawler,Vedette power boats,Used boat,2019,8.45,3.23,GRP,111,139500,Netherlands , In verkoophaven,Used boat,Unleaded,High-priced
2050,Cabin Boat,Regal power boats,"new boat from stock,Unleaded",2021,7.9,2.5,GRP,132,143819,Germany , Lake Constance ,new boat from stock,Unleaded,High-priced
2051,Flybridge,Sealine power boats,"Used boat,Diesel",2003,11.74,3.78,GRP,471,158100,Switzerland , VierwaldstÃ¤ttersee ,Used boat,Diesel,High-priced
2052,Sport Boat,Azimut power boats,"Used boat,Diesel",2009,11.25,3.85,PVC,147,143000,France ," Menton, France",Used boat,Diesel,High-priced
2053,Cabin Boat,Sea Ray power boats,new boat on order,2021,8.1,2.56,GRP,75,142900,Germany , Boote Pfister GmbH Schwebheim / Schweinfurt,new boat on order,Diesel,High-priced
2054,Cabin Boat,Cranchi power boats,"Used boat,Diesel",2010,9.96,3.46,GRP,321,142800,Switzerland , Lago Maggiore ,Used boat,Diesel,High-priced
