,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category
4667,Flybridge,Azimut power boats,"Used boat,Diesel",2011,12.35,4.05,PVC,143,295000,Poland ," NIEPORET, Pologne",Used boat,Diesel,High-priced
4668,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2003,16.61,4.46,GRP,57,295000,Germany , Neustadt in Holstein,Used boat,Diesel,High-priced
4669,Flybridge,Galeon power boats,"Used boat,Diesel",2007,16.26,4.76,GRP,65,295000,Germany , INFO DD-YACHTING,Used boat,Diesel,High-priced
4670,Flybridge,Sunseeker power boats,"Used boat,Diesel",2003,18.64,4.57,Aluminium,120,295000,Malta , St. Julians,Used boat,Diesel,High-priced
4671,Flybridge,Sunseeker power boats,"Used boat,Diesel",2001,17.37,4.6,GRP,80,295000,Spain , Empuriabrava,Used boat,Diesel,High-priced
4672,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2007,14.02,4.3,GRP,41,295000,Spain , Alicante,Used boat,Diesel,High-priced
4673,"Cabin Boat,Motor Yacht,Trawler",Greenline power boats,"Used boat,Diesel",2018,11.99,4.25,GRP,206,295000,Slovenia , Portoroz ,Used boat,Diesel,High-priced
4674,Flybridge,Azimut power boats,"Used boat,Diesel",1999,18,5.5,GRP,314,295000,Italy , Veneto ,Used boat,Diesel,High-priced
4675,Flybridge,AICON Yachts power boats,Used boat,2008,17.66,4.8,GRP,121,295000,Netherlands,Unknown,Used boat,Diesel,High-priced
4676,Motor Yacht,Princess power boats,Used boat,2008,14.7,4.01,GRP,160,295000,Netherlands,Unknown,Used boat,Diesel,High-priced
4677,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,14.96,4.3,GRP,130,294900,Greece,Unknown,Used boat,Diesel,High-priced
4680,Trawler,Bnteau power boats,"Used boat,Diesel",2018,11,3.96,PVC,75,294000,France ," Bandol, France",Used boat,Diesel,High-priced
4681,Trawler,Bnteau power boats,"Used boat,Diesel",2012,12.17,4.25,PVC,31,292000,Spain ," DÃ©nia, Espagne",Used boat,Diesel,High-priced
4683,Motor Yacht,Rapsody power boats,"Used boat,Diesel",2002,15.5,4.1,GRP,162,292000,Ostsee , Naantali ,Used boat,Diesel,High-priced
4685,Motor Yacht,Bnteau power boats,"new boat from stock,Diesel",2020,11.29,3.96,GRP,95,291500,Germany , Baden-WÃ¼rttemberg ,new boat from stock,Diesel,High-priced
4686,"Bowrider,Motor Yacht,Wakeboard/Wakesurf",Sea Ray power boats,"Used boat,Unleaded",2017,10.5,3.2,GRP,508,321300,Switzerland , Lake of Zurich ,Used boat,Unleaded,High-priced
4687,Hardtop,Galeon power boats,"new boat on order,Unleaded",2020,10.9,3.35,GRP,248,291150,Germany , Lake Constance ,new boat on order,Unleaded,High-priced
4688,Flybridge,Princess power boats,"Used boat,Diesel",2009,14.35,3.99,PVC,103,264950,United Kingdom ," Lincoln, Lincoln",Used boat,Diesel,High-priced
4689,Motor Yacht,Princess power boats,"Used boat,Diesel",2009,14.35,3.99,PVC,67,264950,United Kingdom ," LINCOLN, Royaume Uni",Used boat,Diesel,High-priced
4690,Hardtop,Marex power boats,"new boat from stock,Diesel",2020,9.46,3.22,GRP,230,320178,Switzerland , Goldach,new boat from stock,Diesel,High-priced
4691,Runabout,Menorquin power boats,Used boat,2003,15.95,5,GRP,63,290000,Italy , Toscana ,Used boat,Diesel,High-priced
4693,Sport Boat,Giorgi power boats,"Used boat,Diesel",2014,15.2,4.2,GRP,42,290000,Italy , Toscana ,Used boat,Diesel,High-priced
4695,Motor Yacht,Menorquin power boats,"Used boat,Diesel",2006,15.95,5,GRP,34,290000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
4696,Catamaran,Lagoon power boats,"Used boat,Diesel",2012,13.72,7.62,GRP,89,290000,Croatia (Hrvatska) , Sibenik,Used boat,Diesel,High-priced
4697,Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2017,11.01,5.11,GRP,113,290000,Portugal , Lisbon,Used boat,Diesel,High-priced
4698,Hardtop,Cayman power boats,"Used boat,Diesel",2007,17,4.65,GRP,90,290000,Croatia (Hrvatska) , Donau ,Used boat,Diesel,High-priced
4699,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,14.97,4.3,GRP,116,290000,Unknown,Unknown,Used boat,Diesel,High-priced
4701,Flybridge,Posillipo power boats,Used boat,1996,21.63,5.3,GRP,45,290000,Italy , I West,Used boat,Diesel,High-priced
4702,Flybridge,Ferretti power boats,"Used boat,Diesel",2002,15.4,4.7,GRP,50,290000,Italy , Adria,Used boat,Diesel,High-priced
4703,Flybridge,Princess power boats,"Used boat,Diesel",2002,15.99,4.48,GRP,74,289999,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
4705,Trawler,Bnteau power boats,Used boat,2013,13.88,4.25,PVC,132,289500,Spain ," Valencia, Espagne",Used boat,Diesel,High-priced
4707,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,10.56,3.32,GRP,249,318788.76,Switzerland , VierwaldstÃ¤ttersee ,new boat from stock,Diesel,High-priced
4708,Flybridge,Sealine power boats,"Used boat,Diesel",2007,15.67,4.58,GRP,237,289000,Greece , auf Anfrage / on request / Griechenland,Used boat,Diesel,High-priced
4710,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,13.11,4.22,GRP,95,289000,Croatia (Hrvatska) , INFO BOOTE RIEDL SUKOSAN,Used boat,Diesel,High-priced
4715,Trawler,Bnteau power boats,"Used boat,Diesel",2012,13.88,4.25,PVC,33,289000,France ," BORMES LES MIMOSAS, France",Used boat,Diesel,High-priced
4716,Flybridge,Azimut power boats,"Used boat,Diesel",2005,16.2,4.55,GRP,66,289000,Italy,Unknown,Used boat,Diesel,High-priced
4718,Hardtop,Pershing power boats,"Used boat,Diesel",2004,16.69,4.7,GRP,29,289000,Croatia (Hrvatska) , Zadar,Used boat,Diesel,High-priced
4719,Motor Yacht,Pershing power boats,"Used boat,Diesel",2004,16.7,4.7,GRP,193,289000,Austria , Kroatien ,Used boat,Diesel,High-priced
4720,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",2020,10.5,3.32,GRP,53,288500,Germany , BÃ¶nningstedt,new boat from stock,Diesel,High-priced
4724,Wakeboard/Wakesurf,Nautique power boats,"new boat on order,Unleaded",2020,7.65,2.59,GRP,145,286800,Germany , Rheinland-Pfalz ,new boat on order,Unleaded,High-priced
4725,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",2014,13.69,4.11,GRP,45,276900,Denmark , Frankrig,new boat from stock,Diesel,High-priced
4726,Pilothouse,Delta Powerboats power boats,"new boat from stock,Diesel",2020,10.7,3.1,GRP,370,285450,Switzerland , Lake Constance ,new boat from stock,Diesel,High-priced
4727,Flybridge,Sealine power boats,"Used boat,Diesel",2011,13.96,4.51,GRP,96,260000,France , Seyne sur Mer,Used boat,Diesel,High-priced
4732,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2013,13.36,4.16,GRP,144,285000,Spain , Alicante,Used boat,Diesel,High-priced
4733,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2018,11.43,3.84,PVC,46,284000,France,Unknown,Used boat,Diesel,High-priced
4735,Motor Yacht,Fairline power boats,"new boat from stock,Diesel",2006,14.34,4.01,GRP,62,273000,Denmark , Frankrig,new boat from stock,Diesel,High-priced
4736,Trawler,Grand Banks power boats,"Used boat,Diesel",2001,14.63,4.06,GRP,96,282000,Germany , GroÃbritannien,Used boat,Diesel,High-priced
4737,Trawler,Bnteau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,47,256950,United Kingdom ," Hamble, Hamble",Used boat,Diesel,High-priced
4740,Motor Yacht,Marquis power boats,"Used boat,Diesel",2009,13.3,4.2,GRP,57,280000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
4741,Motor Yacht,De Boarnstream power boats,"Display Model,Diesel",2016,10.86,3.6,Steel,236,280000,Switzerland , Lake Constance ,Used boat,Display Model,High-priced
4743,Flybridge,Sealine power boats,"Used boat,Diesel",2005,15.85,4.57,GRP,66,280000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
4745,Motor Yacht,Sunseeker power boats,Used boat,2006,17.04,4.6,GRP,231,280000,Spain , Mallorca ,Used boat,Diesel,High-priced
4747,Motor Yacht,Bnteau power boats,"Used boat,Diesel",2016,11.5,3.85,GRP,46,280000,France , CÃ´te d'Azur ,Used boat,Diesel,High-priced
4748,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2003,16.45,4.65,GRP,23,280000,Croatia (Hrvatska) , INFO DD-YACHTING,Used boat,Diesel,High-priced
4749,Hardtop,Azimut power boats,"Used boat,Diesel",2008,13.37,4.22,GRP,95,280000,Italy , Campania ,Used boat,Diesel,High-priced
4753,Motor Yacht,Bnteau power boats,"Used boat,Diesel",2010,14.8,4.33,GRP,79,280000,Malta,Unknown,Used boat,Diesel,High-priced
4754,Hardtop,Bnteau power boats,"Used boat,Diesel",2010,14.63,4.27,GRP,102,280000,Malta , San ?iljan,Used boat,Diesel,High-priced
4756,Trawler,Grand Banks power boats,"Used boat,Diesel",1996,14.35,4.5,GRP,184,280000,France , PACA ,Used boat,Diesel,High-priced
4757,"Motor Yacht,Trawler",Linssen power boats,"Used boat,Diesel",1998,14.98,4.88,Steel,312,280000,Germany , Niedersachsen ,Used boat,Diesel,High-priced
4758,Sport Boat,Baja power boats,"Used boat,Unleaded",2001,13.43,2.9,Plastic,241,280000,Latvia , riga ,Used boat,Unleaded,High-priced
4760,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2014,13.84,4.01,GRP,359,280000,Mallorca ,Unknown,Used boat,Diesel,High-priced
4761,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",2020,10.53,3.32,GRP,106,279900,Germany , Bayern ,new boat from stock,Diesel,High-priced
4762,Trawler,Bnteau power boats,"Used boat,Diesel",2019,11.29,4.03,PVC,55,279000,France ," BORMES LES MIMOSAS, France",Used boat,Diesel,High-priced
4763,Motor Yacht,Fairline power boats,"Used boat,Diesel",2007,14.78,3.99,GRP,169,279000,Germany , Elbe ,Used boat,Diesel,High-priced
4764,Trawler,Bnteau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,44,279000,France ," Ajaccio, France",Used boat,Diesel,High-priced
4765,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,10.56,3.27,PVC,31,279000,France ," BORMES LES MIMOSAS, France",new boat from stock,Diesel,High-priced
4766,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,13.37,4.22,GRP,67,279000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
4767,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2009,15.3,4.6,GRP,58,279000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
4768,Hardtop,Bavaria power boats,"Used boat,Diesel",2016,13.29,3.97,GRP,128,279000,Germany , Nordsee ,Used boat,Diesel,High-priced
4769,Hardtop,Sunseeker power boats,"Used boat,Diesel",2004,16.99,4.6,GRP,118,279000,Germany , Nordrhein-Westfalen ,Used boat,Diesel,High-priced
4770,Pilothouse,Cobrey power boats,"new boat from stock,Unleaded",2020,9.8,3.19,GRP,309,278789,Switzerland , Lake Constance ,new boat from stock,Unleaded,High-priced
4772,Motor Yacht,Azimut power boats,"new boat from stock,Diesel",2020,10.25,3.5,GRP,227,278000,Italy , noch in Produktion,new boat from stock,Diesel,High-priced
4774,Motor Yacht,Cranchi power boats,Used boat,2018,11.7,3.53,GRP,71,278000,Croatia (Hrvatska) , onbekend,Used boat,Diesel,High-priced
4775,House Boat,Altena power boats,"Used boat,Diesel",2002,15.3,4.4,Steel,525,306000,Switzerland , Neuenburgersee ,Used boat,Diesel,High-priced
4776,Motor Yacht,Monterey power boats,"new boat from stock,Unleaded",2017,10.7,3.4,GRP,75,305898,Switzerland , 3421 Lyssach,new boat from stock,Unleaded,High-priced
4777,Trawler,Bnteau power boats,"Used boat,Diesel",2018,11.29,4.03,PVC,51,277000,France ," LA GRANDE MOTTE, LA GRANDE MOTTE",Used boat,Diesel,High-priced
4778,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,14.95,4.3,GRP,67,277000,Spain , Alicante,Used boat,Diesel,High-priced
4780,Hardtop,Grandezza power boats,"new boat on order,Diesel",2020,10.03,3.23,GRP,132,276200,Germany , Baden-WÃ¼rttemberg ,new boat on order,Diesel,High-priced
4781,Hardtop,Saga power boats,"Display Model,Diesel",2020,9.78,3.25,GRP,250,303960,Switzerland , VierwaldstÃ¤ttersee ,new boat from stock,Display Model,High-priced
4782,Hardtop,Marex power boats,"new boat from stock,Diesel",2020,9.46,3.24,GRP,252,275445,Switzerland , VierwaldstÃ¤ttersee ,new boat from stock,Diesel,High-priced
4783,Sport Boat,Apreamare power boats,"Used boat,Diesel",2003,12.2,4.5,GRP,44,275000,Italy , Sardegna ,Used boat,Diesel,High-priced
4784,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,13.1,4,GRP,153,275000,Croatia (Hrvatska) , INFO DD-YACHTING KROATIEN,Used boat,Diesel,High-priced
4785,Hardtop,Sealine power boats,"Used boat,Diesel",2010,14.02,4.48,GRP,105,275000,Germany , INFO DD-YACHTING DEUTSCHLAND,Used boat,Diesel,High-priced
4786,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2000,18.59,4.6,GRP,77,275000,Unknown,Unknown,Used boat,Diesel,High-priced
4787,Flybridge,Fairline power boats,Used boat,1995,19.04,4.85,GRP,73,275000,Finland ," Turku, (FI)",Used boat,Diesel,High-priced
4788,Flybridge,Bnteau power boats,"new boat from stock,Diesel",2019,11.37,3.8,PVC,44,275000,France ," La Seyne-sur-Mer, France",new boat from stock,Diesel,High-priced
4789,Hardtop,Sunseeker power boats,"Used boat,Diesel",2005,16.15,1.4,GRP,62,275000,Spain , Mallorca ,Used boat,Diesel,High-priced
4790,Trawler,Bnteau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,81,275000,France ," LORIENT, LORIENT",Used boat,Diesel,High-priced
4792,Motor Yacht,Sessa power boats,"Used boat,Diesel",2012,11.7,3.75,GRP,49,275000,Spain , Mallorca ,Used boat,Diesel,High-priced
4793,Trawler,van der Heijden power boats,Used boat,2005,14.95,4.5,Steel,53,275000,Netherlands , In verkoophaven,Used boat,Diesel,High-priced
4794,Motor Yacht,Cobra Yachts power boats,"Display Model,Diesel",2019,11.4,3.5,GRP,159,274999,Poland , Werft,new boat from stock,Display Model,High-priced
4795,Hardtop,Bavaria power boats,"Used boat,Diesel",2011,14.3,4.41,GRP,74,274900,Italy , Tyrrhenian sea,Used boat,Diesel,High-priced
4797,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",2019,10.5,3.32,GRP,132,274900,Germany , Bayern ,new boat from stock,Diesel,High-priced
4798,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,14.97,4.3,GRP,119,249950,Sweden , Stockholm,Used boat,Diesel,High-priced
4799,Motor Yacht,Canados power boats,"Used boat,Diesel",1995,18.29,5.46,GRP,70,249995,United Kingdom , Southampton,Used boat,Diesel,High-priced
4800,Hardtop,Jeanneau power boats,"Used boat,Diesel",2019,10.52,3.05,PVC,78,249950,United Kingdom ," Burton Waters, Burton Waters",Used boat,Diesel,High-priced
4801,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,11.4,3.5,GRP,178,274000,Switzerland , Lake Geneva ,new boat from stock,Unleaded,High-priced
4802,Passenger boat,Hitzler-Werft Regensburg power boats,"Used boat,Diesel",1910,13.3,3.12,Steel,245,300900,Switzerland , VierwaldstÃ¤ttersee ,Used boat,Diesel,High-priced
4803,Flybridge,Astondoa power boats,"Used boat,Diesel",2003,13.9,4.3,GRP,408,300900,Switzerland , Locarno,Used boat,Diesel,High-priced
4804,Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,15.79,4.5,GRP,1107,300900,Switzerland , Lake of Zurich ,Used boat,Diesel,High-priced
4805,Cabin Boat,Delta Powerboats power boats,"new boat from stock,Diesel",2020,10.7,3.1,GRP,220,272000,Switzerland , Lake Constance ,new boat from stock,Diesel,High-priced
4807,Bowrider,Chris Craft power boats,"new boat from stock,Unleaded",2020,8.13,2.59,GRP,183,299370,Switzerland , Lago Maggiore ,new boat from stock,Unleaded,High-priced
4808,"Classic,House Boat,Motor Yacht",Lavagna power boats,"Used boat,Diesel",1967,18.5,4.95,Wood,578,295800,France , Alpes Maritimes ,Used boat,Diesel,High-priced
4809,Motor Yacht,Benetti power boats,"Used boat,Diesel",1969,23.8,5.8,Steel,124,270000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
4810,Flybridge,Diano power boats,"Used boat,Diesel",1991,22.8,5.75,Wood,65,270000,Italy , Mar Tirreno,Used boat,Diesel,High-priced
4812,Flybridge,Sealine power boats,"Used boat,Diesel",2010,14.1,4.48,GRP,102,270000,Croatia (Hrvatska) , INFO DD-YACHTING,Used boat,Diesel,High-priced
4813,Motor Yacht,Sessa power boats,"Used boat,Diesel",2008,14.87,4.27,GRP,56,270000,Unknown,Unknown,Used boat,Diesel,High-priced
4814,Motor Yacht,Fairline power boats,Used boat,2008,15,4,GRP,42,270000,Spain , Alicante,Used boat,Diesel,High-priced
4815,Hardtop,Innovazioni e Progetti power boats,"Used boat,Diesel",2009,14.7,4.64,GRP,64,270000,Italy , Campania ,Used boat,Diesel,High-priced
4816,Flybridge,Sealine power boats,Used boat,2010,14.1,4.48,GRP,54,270000,Croatia (Hrvatska) , Dalmatia (HR),Used boat,Diesel,High-priced
4818,Hardtop,Bnteau power boats,"Used boat,Diesel",2018,12.67,3.85,GRP,70,270000,Croatia (Hrvatska) , KROATIEN,Used boat,Diesel,High-priced
4821,Hardtop,Rizzardi power boats,"Used boat,Diesel",2005,14.8,4.4,GRP,116,270000,Italy , Lazio ,Used boat,Diesel,High-priced
4822,Hardtop,Pershing power boats,Used boat,2002,16.7,4.7,GRP,115,270000,Italy , Campania ,Used boat,Diesel,High-priced
4823,Hardtop,Sunseeker power boats,Used boat,2005,17.35,4.57,GRP,119,270000,Italy,Unknown,Used boat,Diesel,High-priced
4824,Flybridge,Azimut power boats,"Used boat,Diesel",2007,12.9,4.29,GRP,84,269900,Austria , INFO BOOTE RIEDL,Used boat,Diesel,High-priced
4825,Flybridge,Fairline power boats,"Used boat,Diesel",2003,15.79,4.5,GRP,185,269000,Netherlands , Gelderland ,Used boat,Diesel,High-priced
4826,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,54,269000,Italy , Tirreno Meridionale,Used boat,Diesel,High-priced
4827,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,126,269000,Italy , Tirreno Meridionale,Used boat,Diesel,High-priced
4828,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,99,269000,Italy , Tirreno Meridionale,Used boat,Diesel,High-priced
4829,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,171,269000,Italy , Tirreno Meridionale,Used boat,Diesel,High-priced
4830,Flybridge,Galeon power boats,"Used boat,Diesel",2012,11.98,3.75,GRP,408,269000,Germany , Rhein ,Used boat,Diesel,High-priced
4831,Flybridge,Fairline power boats,"Used boat,Diesel",2001,17.05,4.65,PVC,100,245000,United Kingdom ," Ardrossan, Ardrossan",Used boat,Diesel,High-priced
4832,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,14.97,4.3,GRP,48,245000,Portugal , Vilamoura,Used boat,Diesel,High-priced
4836,Runabout,Comitti power boats,"Display Model,Unleaded",2019,11,2.99,GRP,243,268000,Switzerland , Lake Constance ,new boat from stock,Display Model,High-priced
4838,"Classic,Runabout",Comitti power boats,new boat from stock,2018,11,2.99,GRP,285,293760,Switzerland , Lago Maggiore ,new boat from stock,Diesel,High-priced
4839,Motor Yacht,Jeanneau power boats,new boat on order,2020,11.47,3.62,GRP,45,265727,Germany , BÃ¶nningstedt,new boat on order,Diesel,High-priced
4841,Sport Boat,Cormate power boats,"new boat on order,Unleaded",2021,10.36,2.55,GRP,156,265000,Switzerland , Lake Constance ,new boat on order,Unleaded,High-priced
4842,House Boat,Hemiksem power boats,Used boat,1966,46.91,5.08,Steel,174,265000,Belgium , Bruxelles - Ittre ,Used boat,Unleaded,High-priced
4843,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,11.58,3.86,GRP,95,265000,Germany , INFO DD-YACHTING,Used boat,Diesel,High-priced
4844,Pilothouse,Bavaria power boats,"Used boat,Diesel",2017,11.99,4.2,GRP,236,265000,Italy , Lake Garda ,Used boat,Diesel,High-priced
4846,Motor Yacht,Galeon power boats,Used boat,2011,13.6,3.9,GRP,97,265000,Spain , INFO DD-YACHTING,Used boat,Diesel,High-priced
4847,Motor Yacht,Absolute power boats,"Used boat,Diesel",2009,14.36,4.24,GRP,64,265000,Greece , ?????,Used boat,Diesel,High-priced
4848,Hardtop,Jeanneau power boats,Used boat,2017,11.15,3.74,GRP,68,265000,Estonia ," Tallinn, (EST)",Used boat,Diesel,High-priced
4850,Flybridge,Ferretti power boats,"Used boat,Diesel",2006,15.62,4.8,GRP,74,265000,Italy,Unknown,Used boat,Diesel,High-priced
4851,Hardtop,Pershing power boats,"Used boat,Diesel",2002,16.7,4.7,GRP,116,265000,Italy , Campania ,Used boat,Diesel,High-priced
4852,Sport Boat,Nautica Esposito power boats,"Used boat,Diesel",2017,11.5,3.85,PVC,41,265000,Spain ," Gerona, Espagne",Used boat,Diesel,High-priced
4853,Trawler,Bnteau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,54,265000,France ," MANCHE, France",Used boat,Diesel,High-priced
4854,Wakeboard/Wakesurf,Pavati power boats,"Display Model,Unleaded",2019,7.52,2.56,Aluminium,690,290700,Switzerland , Lake Geneva ,Used boat,Display Model,High-priced
4855,Sport Boat,Linssen power boats,"Used boat,Diesel",2009,12.85,4.3,Steel,247,290700,Switzerland , Lago Maggiore ,Used boat,Diesel,High-priced
4856,Flybridge,Princess power boats,"Used boat,Diesel",2008,12.8,4.18,GRP,95,239950,United Kingdom , Southampton,Used boat,Diesel,High-priced
4857,Bowrider,Fjord power boats,"Used boat,Unleaded",2018,11.32,3.64,PVC,103,263000,France ," PORTO VECCHIO, PORTO VECCHIO",Used boat,Unleaded,High-priced
4858,Motor Yacht,Biot power boats,"Used boat,Diesel",2003,14.15,4.3,Aluminium,212,285600,Switzerland , Bielersee ,Used boat,Diesel,High-priced
4860,Motor Yacht,Monachus power boats,"Used boat,Diesel",2008,13.85,4.2,GRP,38,260000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
4862,Motor Yacht,Sessa power boats,"Used boat,Diesel",2009,11.88,3.99,GRP,39,260000,Croatia (Hrvatska) , INFO DD-YACHTING,Used boat,Diesel,High-priced
4866,Trawler,Bnteau power boats,"Used boat,Diesel",2012,13.88,4.25,GRP,82,260000,Turkey , Bodrum,Used boat,Diesel,High-priced
4869,Hardtop,Sessa power boats,"Used boat,Diesel",2006,15.8,4.5,GRP,54,260000,Croatia (Hrvatska) , INFO DD-YACHTING,Used boat,Diesel,High-priced
4870,Hardtop,Rio power boats,Used boat,2012,13.23,4,GRP,48,260000,Italy , Campania ,Used boat,Diesel,High-priced
4871,Motor Yacht,Uniesse power boats,"Used boat,Diesel",2005,16.2,4.5,GRP,62,260000,Italy , Mar Tirreno,Used boat,Diesel,High-priced
4873,Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,14.99,4.2,GRP,177,260000,Croatia (Hrvatska) , Zadar,Used boat,Diesel,High-priced
4874,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2007,16.7,4.65,GRP,122,260000,Spain , Alicante,Used boat,Diesel,High-priced
4875,Hardtop,Bavaria power boats,"Used boat,Diesel",2015,13.29,3.97,GRP,178,260000,Germany , Schleswig-Holstein / Nordsee,Used boat,Diesel,High-priced
4876,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2013,13.36,4.16,PVC,130,260000,France ," Mandelieu la Napoule, France",Used boat,Diesel,High-priced
4880,Trawler,Tryvia power boats,Used boat,2011,13.45,4.25,Steel,107,259500,Netherlands , Bestboats Roermond,Used boat,Diesel,High-priced
4881,Flybridge,Adagio Yachts power boats,Used boat,2008,12.97,3.87,GRP,53,259000,Netherlands , onbekend,Used boat,Diesel,High-priced
4882,Motor Yacht,Fairline power boats,"Used boat,Diesel",2001,16.61,4.67,GRP,63,259000,Spain , Mallorca ,Used boat,Diesel,High-priced
4885,Motor Yacht,Four Winns power boats,"Used boat,Diesel",2010,13.3,4.07,GRP,63,258000,Croatia (Hrvatska) , INFO DD-YACHTING,Used boat,Diesel,High-priced
4889,Hardtop,Galeon power boats,"Used boat,Diesel",2014,11.99,3.66,GRP,267,283560,Switzerland , Stansstad,Used boat,Diesel,High-priced
4891,Sport Boat,Fjord power boats,"Display Model,Gas",2020,11.63,3.64,GRP,104,256800,Croatia (Hrvatska) , Split,new boat from stock,Display Model,High-priced
4892,Hardtop,Sessa power boats,"new boat from stock,Unleaded",2020,11.7,3.75,GRP,58,256000,Italy , Toscana ,new boat from stock,Unleaded,High-priced
4893,Hardtop,Bnteau power boats,"Used boat,Diesel",2010,14.8,4.27,PVC,63,256000,France ," CANET EN ROUSSILLON, France",Used boat,Diesel,High-priced
4896,Flybridge,Azimut power boats,"Used boat,Diesel",2005,14,4,GRP,61,255000,Croatia (Hrvatska) , Kvarner,Used boat,Diesel,High-priced
4897,Motor Yacht,Bnteau power boats,"Used boat,Diesel",2011,14,4,GRP,116,255000,Croatia (Hrvatska) , Dalmatia,Used boat,Diesel,High-priced
4898,Trawler,Sabre power boats,"Used boat,Diesel",2000,14.22,4.57,GRP,42,255000,Netherlands , In verkoophaven,Used boat,Diesel,High-priced
4900,Motor Yacht,Neptunus power boats,"Used boat,Diesel",1994,18.9,5.15,GRP,72,255000,Germany , Neustadt,Used boat,Diesel,High-priced
4902,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,11.75,3.62,PVC,44,255000,France ," golfe juan, GOLFE JUAN",Used boat,Diesel,High-priced
4903,Flybridge,Azimut power boats,"Used boat,Diesel",2006,12,4,GRP,88,255000,Croatia (Hrvatska) , Istra,Used boat,Diesel,High-priced
4905,Motor Yacht,Rhea power boats,"Used boat,Unleaded",2019,9.75,3.33,PVC,96,255000,France ," cavalaire, France",Used boat,Unleaded,High-priced
4906,Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2019,10.44,3.32,GRP,75,254900,Germany , Berlin ,new boat from stock,Unleaded,High-priced
4908,Runabout,Riva power boats,"Used boat,Unleaded",2017,8.21,2.5,GRP,388,280500,Switzerland , Lake Geneva ,Used boat,Unleaded,High-priced
4910,Motor Yacht,Storebro power boats,"Used boat,Diesel",2005,12.5,3.9,GRP,434,254000,Germany , Kappeln / Ostsee,Used boat,Diesel,High-priced
4911,Hardtop,Bnteau power boats,"new boat from stock,Unleaded",2020,9.9,3.4,PVC,75,253370,Spain , Port Ginesta,new boat from stock,Unleaded,High-priced
4912,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2011,11.98,4.16,PVC,68,253000,France ," cannes, CANNES",Used boat,Diesel,High-priced
4913,Trawler,Bnteau power boats,"new boat from stock,Diesel",2020,11.29,3.96,PVC,54,252800,France ," 29200 BREST, France",new boat from stock,Diesel,High-priced
4914,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2005,13.21,4.21,GRP,81,250000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
